id,clothtype,type,price,pricerate,weight,quality,level,material,occupation,condition1,condition2,stat1,stat2,defense,magicresistence,atkdistmvsped,attackpower,attackspeed,itemgrade
1,1,111,850,10,1,30,1,53,0|0|0,0|0,0|0,14|5,0|0,0,0,0,0,0,0
2,1,111,950,10,1,31,1,54,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
3,1,111,1000,10,2,32,1,49,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
4,1,111,1100,10,1,33,2,50,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
5,1,111,1100,10,1,34,2,51,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
6,1,111,1250,10,2,35,3,52,0|0|0,0|0,0|0,14|8,0|0,0,0,0,0,0,0
7,1,111,1350,10,3,36,3,57,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
8,1,111,1400,10,10,37,4,58,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
9,1,111,1550,10,5,38,4,55,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
10,1,111,1550,10,7,39,4,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
11,1,111,1700,10,5,40,5,56,0|0|0,0|0,0|0,14|11,0|0,0,0,0,0,0,0
12,1,111,1850,0,0,41,5,0,0|0|0,0|0,0|0,14|12,0|0,0,0,0,0,0,0
13,1,111,30000,1,2,42,0,0,0|0|0,31|70,0|0,21|15,22|10,0,0,0,0,0,0
14,1,111,2050,0,0,43,6,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
15,1,111,2100,0,0,44,6,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
16,1,111,2250,0,0,45,6,0,0|0|0,0|0,0|0,14|14,0|0,0,0,0,0,0,0
17,1,111,2400,0,0,46,7,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
18,1,111,2450,0,0,47,7,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
19,1,111,2600,0,0,48,7,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
20,1,111,2650,0,0,49,8,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
21,1,111,2850,0,0,50,8,0,0|0|0,0|0,0|0,14|17,0|0,0,0,0,0,0,0
22,1,111,3050,0,0,51,8,0,0|0|0,0|0,0|0,14|18,0|0,0,0,0,0,0,0
23,1,111,3100,0,0,52,9,0,0|0|0,0|0,0|0,14|18,0|0,0,0,0,0,0,0
24,1,111,3300,0,0,53,9,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
25,1,111,3350,0,0,54,9,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
26,1,111,3550,0,0,55,9,0,0|0|0,0|0,0|0,14|20,0|0,0,0,0,0,0,0
27,1,111,3750,0,0,56,10,0,0|0|0,0|0,0|0,14|21,0|0,0,0,0,0,0,0
28,1,111,3800,0,0,57,10,0,0|0|0,0|0,0|0,14|21,0|0,0,0,0,0,0,0
29,1,111,4000,0,0,58,10,0,0|0|0,0|0,0|0,14|22,0|0,0,0,0,0,0,0
30,1,111,4100,0,0,59,10,0,0|0|0,0|0,0|0,14|22,0|0,0,0,0,0,0,0
31,1,112,1000,10,2,30,2,64,0|0|0,0|0,0|0,14|5,0|0,0,0,0,0,0,0
32,1,112,1100,10,2,31,3,65,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
33,1,112,1150,10,2,32,3,66,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
34,1,112,1250,10,2,33,3,67,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
35,1,112,1300,10,2,34,4,68,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
36,1,112,1400,0,0,35,4,0,0|0|0,0|0,0|0,14|8,0|0,0,0,0,0,0,0
37,1,112,1550,0,0,36,4,0,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
38,1,112,1600,10,3,37,5,69,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
39,1,112,1700,0,0,38,5,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
40,1,112,1750,0,0,39,5,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
41,1,112,1900,0,0,40,5,0,0|0|0,0|0,0|0,14|11,0|0,0,0,0,0,0,0
42,1,112,2050,0,0,41,6,0,0|0|0,0|0,0|0,14|12,0|0,0,0,0,0,0,0
43,1,112,2100,0,0,42,6,0,0|0|0,0|0,0|0,14|12,0|0,0,0,0,0,0,0
44,1,112,2250,0,0,43,6,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
45,1,112,2300,0,0,44,6,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
46,1,112,2450,0,0,45,7,0,0|0|0,0|0,0|0,14|14,0|0,0,0,0,0,0,0
47,1,112,2650,0,0,46,7,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
48,1,112,2700,0,0,47,7,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
49,1,112,2850,0,0,48,7,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
50,1,112,2900,0,0,49,8,0,0|0|0,0|0,0|0,14|16,0|0,0,0,0,0,0,0
51,1,112,3100,0,0,50,8,0,0|0|0,0|0,0|0,14|17,0|0,0,0,0,0,0,0
52,1,112,3300,0,0,51,8,0,0|0|0,0|0,0|0,14|18,0|0,0,0,0,0,0,0
53,1,112,3350,0,0,52,8,0,0|0|0,0|0,0|0,14|18,0|0,0,0,0,0,0,0
54,1,112,3550,0,0,53,9,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
55,1,112,3600,0,0,54,9,0,0|0|0,0|0,0|0,14|19,0|0,0,0,0,0,0,0
56,1,112,3800,0,0,55,9,0,0|0|0,0|0,0|0,14|20,0|0,0,0,0,0,0,0
57,1,112,4000,0,0,56,10,0,0|0|0,0|0,0|0,14|21,0|0,0,0,0,0,0,0
58,1,112,4100,0,0,57,10,0,0|0|0,0|0,0|0,14|21,0|0,0,0,0,0,0,0
59,1,112,4300,0,0,58,10,0,0|0|0,0|0,0|0,14|22,0|0,0,0,0,0,0,0
60,1,112,4400,0,0,59,10,0,0|0|0,0|0,0|0,14|22,0|0,0,0,0,0,0,0
61,1,113,700,0,0,30,1,0,0|0|0,0|0,0|0,14|5,0|0,0,0,0,0,0,0
62,1,113,800,10,1,31,1,76,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
63,1,113,800,0,0,32,1,0,0|0|0,0|0,0|0,14|6,0|0,0,0,0,0,0,0
64,1,113,950,10,1,33,2,77,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
65,1,113,950,0,0,34,2,0,0|0|0,0|0,0|0,14|7,0|0,0,0,0,0,0,0
66,1,113,1050,0,0,35,2,0,0|0|0,0|0,0|0,14|8,0|0,0,0,0,0,0,0
67,1,113,1200,0,0,36,3,0,0|0|0,0|0,0|0,14|9,0|0,0,0,0,0,0,0
