id,type,price,pricerate,weight,quality,pricevalue
1,421,100,5,1,55,1
2,421,140,5,1,55,1
3,421,180,5,1,55,1
4,421,220,5,1,55,1
5,421,280,5,1,55,1
6,421,350,5,1,55,1
7,421,460,5,1,55,1
8,421,600,5,1,55,1
9,421,750,5,1,55,1
10,421,970,5,1,55,1
11,422,1100,5,1,55,1
12,422,1160,5,1,55,1
13,422,1280,5,1,55,1
14,422,1430,5,1,55,1
15,422,1770,5,1,55,1
16,422,2180,5,1,55,1
17,422,2680,5,1,55,1
18,422,2720,5,1,55,1
19,422,3450,5,1,55,1
20,422,4450,5,1,55,1
21,423,70,10,1,55,2
22,423,100,10,1,55,2
23,423,120,10,1,55,2
24,423,150,10,1,55,2
25,423,190,5,1,55,2
26,423,230,5,1,55,2
27,423,305,5,1,55,2
28,423,395,5,1,55,2
29,423,500,5,1,55,2
30,423,645,5,1,55,2
31,424,70,10,1,55,3
32,424,100,10,1,55,3
33,424,120,10,1,55,3
34,424,150,10,1,55,3
35,424,190,10,1,55,3
36,424,230,10,1,55,3
37,424,310,10,1,55,3
38,424,400,10,1,55,3
39,424,500,10,1,55,3
40,424,645,10,1,55,3
41,425,120,10,1,55,4
42,425,150,10,1,55,4
43,425,200,10,1,55,4
44,425,250,10,1,55,4
45,425,310,10,1,55,4
46,425,380,10,1,55,4
47,425,500,10,1,55,4
48,425,650,10,1,55,4
49,425,820,10,1,55,4
50,425,1050,10,1,55,4
51,426,80,10,1,55,5
52,426,110,10,1,55,5
53,426,140,10,1,55,5
54,426,170,10,1,55,5
55,426,210,10,1,55,5
56,426,260,10,1,55,5
57,426,350,10,1,55,5
58,426,450,10,1,55,5
59,426,570,10,1,55,5
60,426,730,10,1,55,5
61,427,130,10,1,30,6
62,427,185,10,1,34,6
63,427,255,10,1,38,6
64,427,340,10,1,42,6
65,427,450,10,1,46,6
66,427,580,10,1,50,6
67,427,805,10,1,56,6
68,427,1000,10,1,60,6
69,427,1235,10,1,64,6
70,427,1505,10,1,68,6
71,428,55,8,1,6,7
72,428,80,8,1,8,7
73,428,105,8,1,10,7
74,428,150,8,1,13,7
75,428,205,8,1,16,7
76,428,270,8,1,19,7
77,428,375,8,1,23,7
78,428,500,5,1,27,7
79,428,640,5,1,31,7
80,428,790,5,1,35,7
81,428,1015,5,1,40,7
82,428,1275,5,1,45,7
83,428,1560,5,1,50,7
84,428,1780,5,1,54,7
85,428,2005,5,1,58,7
86,428,2225,5,1,62,7
87,428,2435,5,1,66,7
