id,life,walkspeed,runspeed,drivespeed,weapon,subweapon,level,hp,attackpower,hitrate,defense,magicdefense,dodge,attackspeed,AI,exp,dropid,money,item,tab1,tab2,tab3,specialtab,attackdistance,aggresive,shp
1,0,160,370,56,0,0,2,8,5,56,8,3,5,100,101,6,100,0,60,0,0,0,0,190,1,0
2,0,170,390,75,0,0,3,7,6,57,9,4,6,100,102,9,101,0,60,0,0,0,0,210,1,0
3,0,175,400,95,0,0,5,6,10,60,12,6,8,100,103,11,104,0,60,0,0,0,0,220,1,0
4,0,220,490,85,161,0,4,6,9,59,8,4,7,107,104,10,102,0,60,0,0,0,0,200,4,0
5,0,200,450,75,0,0,6,6,13,61,12,6,9,105,104,11,105,0,60,0,0,0,0,250,3,0
8,0,110,150,130,0,0,1,11,4,55,6,3,5,100,91,7,100,0,60,0,0,0,0,150,1,280
9,0,120,160,135,0,0,1,11,4,55,6,3,5,100,91,7,100,0,60,0,0,0,0,155,1,280
10,0,130,160,140,0,0,2,8,5,56,8,3,5,100,91,7,100,0,60,0,0,0,0,160,1,280
11,0,160,242,35,0,0,4,6,8,59,10,5,7,100,3,9,103,0,60,0,0,0,0,180,1,0
12,0,175,260,40,0,0,6,6,12,61,13,6,9,100,3,11,106,0,60,0,0,0,0,200,1,0
13,0,180,266,50,0,0,7,6,13,63,16,8,10,95,2,11,107,0,60,0,0,0,0,220,2,0
15,0,180,266,55,0,0,11,7,24,68,25,13,15,95,2,26,114,0,60,0,0,0,0,230,2,0
21,0,200,260,50,0,0,9,6,20,65,19,10,12,100,3,15,112,0,60,0,0,0,0,230,1,0
22,0,200,260,60,0,0,10,7,21,67,23,12,13,95,2,20,115,0,60,0,0,0,0,230,2,0
23,0,230,400,110,0,0,13,7,36,71,25,13,17,105,21,20,121,0,60,0,0,0,0,250,3,0
24,0,200,260,120,0,0,18,28,70,78,62,36,25,110,80,160,130,0,60,0,0,0,0,250,10,0
31,0,200,290,50,1071,0,21,10,75,83,50,30,30,100,22,26,152,0,60,0,0,0,0,1600,1,0
32,0,250,400,90,1071,0,22,10,75,84,54,32,32,90,26,26,156,0,60,0,0,0,0,1800,5,0
33,0,220,314,95,1071,0,23,10,89,86,55,33,34,97,27,27,160,0,60,0,0,0,0,1800,6,0
34,0,240,338,140,1071,0,23,14,95,86,69,42,34,110,28,37,161,0,60,0,0,0,0,2000,8,0
41,0,0,0,55,1072,0,7,6,14,63,15,7,10,100,15,9,108,0,60,0,0,0,0,1750,1,0
42,0,0,0,115,1072,0,8,6,18,64,15,8,11,105,15,13,109,0,60,0,0,0,0,1750,3,0
43,0,0,0,100,1073,0,16,8,50,75,32,18,21,105,15,20,134,0,60,0,0,0,0,2400,3,0
44,0,0,0,120,1073,0,18,9,64,78,33,19,25,107,17,21,142,0,60,0,0,0,0,2500,4,0
45,0,0,0,200,1073,0,19,13,70,80,53,30,27,110,18,22,146,0,60,0,0,0,0,2600,8,0
46,0,0,0,0,0,0,40,14,162,112,126,82,63,95,0,0,0,0,0,0,0,0,0,1200,2,0
51,0,220,314,100,1074,0,44,14,196,119,126,83,68,100,22,41,230,0,60,0,0,0,0,1200,1,180
52,0,230,326,135,1074,0,45,14,210,121,116,76,69,105,21,43,232,0,60,0,0,0,0,1250,3,300
53,0,240,338,135,1075,0,48,14,224,126,124,82,73,105,21,42,234,0,60,0,0,0,0,1300,3,300
61,0,200,350,62,0,0,11,7,27,68,23,12,15,100,3,18,116,0,60,0,0,0,0,200,1,350
